source,titre,date,url
data.gouv.fr,Education ,2019-03-19,https://www.data.gouv.fr/fr/datasets/education-1/
data.gouv.fr,Académies Education Prioritaire,2026-01-29,https://www.data.gouv.fr/fr/datasets/academies-education-prioritaire/
data.gouv.fr,OpenStreetMap : Education - points,2025-06-07,https://www.data.gouv.fr/fr/datasets/openstreetmap-education-points/
data.gouv.fr,Séries chronologiques Education ,2018-06-12,https://www.data.gouv.fr/fr/datasets/series-chronologiques-education/
data.gouv.fr,OpenStreetMap : Education - polygones,2025-06-04,https://www.data.gouv.fr/fr/datasets/openstreetmap-education-polygones/
data.gouv.fr,Education/Sports/Associations/Culture,2021-04-29,https://www.data.gouv.fr/fr/datasets/education-sports-associations-culture/
data.gouv.fr,"Education, jeunesse - Equipements et services",2026-04-27,https://www.data.gouv.fr/fr/datasets/education-jeunesse-equipements-et-services/
data.gouv.fr,CurieXplore - classement - Times Higher Education,2020-11-03,https://www.data.gouv.fr/fr/datasets/curiexplore-classement-times-higher-education/
data.gouv.fr,Annuaire education complet CD76 aout2024,2024-09-02,https://www.data.gouv.fr/fr/datasets/annuaire-education-complet-cd76-aout2024/
data.gouv.fr,"Lycées partenaires des conventions ""Education prioritaire""",2014-12-12,https://www.data.gouv.fr/fr/datasets/lycees-partenaires-des-conventions-education-prioritaire/
data.gouv.fr,English/French glossary on higher education & research in France,2016-03-18,https://www.data.gouv.fr/fr/datasets/english-french-glossary-on-higher-education-research-in-france/
data.gouv.fr,English/French glossary on higher education & research in France,2016-03-18,https://www.data.gouv.fr/fr/datasets/english-french-glossary-on-higher-education-research-in-france-1/
data.gouv.fr,Education - collèges du département de Haute-savoie - 2024,2025-09-17,https://www.data.gouv.fr/fr/datasets/education-colleges-du-departement-de-haute-savoie-2024/
data.gouv.fr,Education - collèges du département de Haute-savoie - 2025,2025-09-17,https://www.data.gouv.fr/fr/datasets/education-colleges-du-departement-de-haute-savoie-2025/
data.gouv.fr,Ecoles et établissements engagés dans la démarche du CNR Education,2026-01-29,https://www.data.gouv.fr/fr/datasets/ecoles-et-etablissements-engages-dans-la-demarche-du-cnr-education/
data.gouv.fr,Les lauréats aux dispositifs d’Education à la Citoyenneté et à la Solidarité internationale (ECSI),2024-07-12,https://www.data.gouv.fr/fr/datasets/laureats-des-appels-a-projets-initiatives-jeunes-solidaires-ijs/
data.gouv.fr,Part des NEET (Neither in Employment nor in Education or Training) parmi les 15-29 ans en 2019 Bassin Arrageois,2026-01-28,https://www.data.gouv.fr/fr/datasets/part-des-neet-neither-in-employment-nor-in-education-or-training-parmi-les-15-29-ans-en-2019-bassin-arrageois/
data.gouv.fr,Part des NEET (Neither in Employment nor in Education or Training) parmi les 15-29 ans en 2019 Bassin Littoral Nord,2026-01-28,https://www.data.gouv.fr/fr/datasets/part-des-neet-neither-in-employment-nor-in-education-or-training-parmi-les-15-29-ans-en-2019-bassin-littoral-nord/
data.gouv.fr,Part des NEET (Neither in Employment nor in Education or Training) parmi les 15-29 ans en 2019 Bassin Littoral Sud,2026-01-28,https://www.data.gouv.fr/fr/datasets/part-des-neet-neither-in-employment-nor-in-education-or-training-parmi-les-15-29-ans-en-2019-bassin-littoral-sud/
data.gouv.fr,"Part des ""NEET"" parmi les 15-29 ans à l'échelle du Littoral Elargi (Neither in Employment nor in Education or Training)",2026-01-28,https://www.data.gouv.fr/fr/datasets/part-des-neet-parmi-les-15-29-ans-a-lechelle-du-littoral-elargi-neither-in-employment-nor-in-education-or-training/
